Source,Medium,Program Page,Date,Inquiries,FY
DBM,Display,DC,Oct-17,1,FY18
DBM,Display,DC,Jan-18,1,FY18
DBM,Display,GR,Dec-17,1,FY18
DBM,Display,TR,Oct-17,1,FY18
DBM,Display,UG,Jan-18,1,FY18
DBM,Display,UG,Mar-18,2,FY18
Direct Traffic,(none),UG,Oct-17,1,FY18
Direct Traffic,(none),UG,Jan-18,1,FY18
Direct Traffic,(none),UG,Mar-18,1,FY18
Facebook,LeadGen,TR,Aug-17,1,FY18
Facebook,PageLink,UG,Aug-17,2,FY18
Facebook,PageLink,UG,Sep-17,6,FY18
Facebook,PageLink,UG,Oct-17,1,FY18
Facebook,PageLink,UG,Jan-18,2,FY18
Facebook,PageLink,UG,Feb-18,1,FY18
Facebook,PageLink,UG,Mar-18,3,FY18
Gmail,Inbox,TR,Oct-17,1,FY18
Google,CPC,DC,Aug-17,1,FY18
Google,CPC,DC,Sep-17,4,FY18
Google,CPC,DC,Oct-17,3,FY18
Google,CPC,DC,Nov-17,2,FY18
Google,CPC,DC,Dec-17,2,FY18
Google,CPC,DC,Jan-18,2,FY18
Google,CPC,DC,Mar-18,2,FY18
Google,CPC,GR,Jul-17,3,FY18
Google,CPC,GR,Aug-17,4,FY18
Google,CPC,GR,Sep-17,7,FY18
Google,CPC,GR,Oct-17,5,FY18
Google,CPC,GR,Nov-17,3,FY18
Google,CPC,GR,Dec-17,6,FY18
Google,CPC,GR,Jan-18,4,FY18
Google,CPC,GR,Feb-18,3,FY18
Google,CPC,GR,Mar-18,2,FY18
Google,CPC,TR,Jul-17,6,FY18
Google,CPC,TR,Aug-17,6,FY18
Google,CPC,TR,Sep-17,17,FY18
Google,CPC,TR,Oct-17,19,FY18
Google,CPC,TR,Nov-17,11,FY18
Google,CPC,TR,Dec-17,11,FY18
Google,CPC,TR,Jan-18,13,FY18
Google,CPC,TR,Feb-18,9,FY18
Google,CPC,TR,Mar-18,12,FY18
Google,CPC,UG,Jul-17,12,FY18
Google,CPC,UG,Aug-17,9,FY18
Google,CPC,UG,Sep-17,19,FY18
Google,CPC,UG,Oct-17,13,FY18
Google,CPC,UG,Nov-17,14,FY18
Google,CPC,UG,Dec-17,11,FY18
Google,CPC,UG,Jan-18,8,FY18
Google,CPC,UG,Feb-18,6,FY18
Google,CPC,UG,Mar-18,6,FY18
Google,Organic,DC,Oct-17,2,FY18
Google,Organic,DC,Jan-18,1,FY18
Google,Organic,GR,Oct-17,1,FY18
Google,Organic,TR,Oct-17,1,FY18
Google,Organic,TR,Feb-18,1,FY18
Google,Organic,UG,Oct-17,1,FY18
Instagram,PageLink,UG,Dec-17,1,FY18
LinkedIn,PageLink,DC,Jan-18,3,FY18
LinkedIn,PageLink,DC,Feb-18,9,FY18
LinkedIn,PageLink,DC,Mar-18,4,FY18
SJ,Display,TR,Oct-17,1,FY18
Spotify,Display,TR,Nov-17,2,FY18
Spotify,Display,UG,Sep-17,1,FY18
Spotify,Display,UG,Oct-17,3,FY18
DBM,Display,DC,Aug-18,2,FY19
DBM,Display,GR,Aug-18,1,FY19
DBM,Display,OL,Aug-18,2,FY19
DBM,Display,TR,Aug-18,1,FY19
DBM,Display,UG,Aug-18,1,FY19
DBM,Display,UG,Sep-18,3,FY19
DBM,Display,UG,Feb-19,1,FY19
Direct Traffic,(none),DC,Feb-19,1,FY19
Direct Traffic,(none),GR,Jan-19,1,FY19
Direct Traffic,(none),OL,Dec-18,1,FY19
Direct Traffic,(none),OL,Feb-19,2,FY19
Direct Traffic,(none),TR,Jul-18,1,FY19
Direct Traffic,(none),TR,Aug-18,1,FY19
Direct Traffic,(none),UG,Jul-18,1,FY19
Direct Traffic,(none),UG,Aug-18,1,FY19
Direct Traffic,(none),UG,Oct-18,1,FY19
Direct Traffic,(none),UG,Nov-18,14,FY19
Direct Traffic,(none),UG,Jan-19,1,FY19
Direct Traffic,(none),UG,Feb-19,17,FY19
Direct Traffic,(none),UG,Mar-19,23,FY19
Facebook,LinkAd,UG,Aug-18,1,FY19
Facebook,LinkAd,UG,Oct-18,1,FY19
Facebook,PageLink,DC,Sep-18,1,FY19
Facebook,PageLink,DC,Oct-18,1,FY19
Facebook,PageLink,DC,Nov-18,1,FY19
Facebook,PageLink,DC,Jan-19,2,FY19
Facebook,PageLink,GR,Sep-18,2,FY19
Facebook,PageLink,GR,Mar-19,1,FY19
Facebook,PageLink,TR,Aug-18,2,FY19
Facebook,PageLink,TR,Nov-18,1,FY19
Facebook,PageLink,UG,Aug-18,2,FY19
Facebook,PageLink,UG,Sep-18,5,FY19
Facebook,PageLink,UG,Nov-18,1,FY19
Facebook,PageLink,UG,Dec-18,1,FY19
Facebook,PageLink,UG,Jan-19,1,FY19
Gmail,Inbox,UG,Sep-18,2,FY19
Google,CPC,DC,Oct-18,1,FY19
Google,CPC,GR,Jul-18,5,FY19
Google,CPC,GR,Aug-18,2,FY19
Google,CPC,GR,Sep-18,5,FY19
Google,CPC,GR,Oct-18,5,FY19
Google,CPC,GR,Nov-18,4,FY19
Google,CPC,GR,Dec-18,19,FY19
Google,CPC,GR,Jan-19,38,FY19
Google,CPC,GR,Feb-19,18,FY19
Google,CPC,GR,Mar-19,33,FY19
Google,CPC,OL,Jul-18,3,FY19
Google,CPC,OL,Sep-18,4,FY19
Google,CPC,OL,Oct-18,5,FY19
Google,CPC,OL,Nov-18,2,FY19
Google,CPC,OL,Dec-18,12,FY19
Google,CPC,OL,Jan-19,17,FY19
Google,CPC,OL,Feb-19,9,FY19
Google,CPC,OL,Mar-19,8,FY19
Google,CPC,TR,Jul-18,6,FY19
Google,CPC,TR,Aug-18,6,FY19
Google,CPC,TR,Sep-18,7,FY19
Google,CPC,TR,Oct-18,6,FY19
Google,CPC,TR,Nov-18,9,FY19
Google,CPC,TR,Dec-18,25,FY19
Google,CPC,TR,Jan-19,47,FY19
Google,CPC,TR,Feb-19,33,FY19
Google,CPC,TR,Mar-19,24,FY19
Google,CPC,UG,Jul-18,7,FY19
Google,CPC,UG,Aug-18,13,FY19
Google,CPC,UG,Sep-18,7,FY19
Google,CPC,UG,Oct-18,5,FY19
Google,CPC,UG,Nov-18,5,FY19
Google,CPC,UG,Dec-18,39,FY19
Google,CPC,UG,Jan-19,66,FY19
Google,CPC,UG,Feb-19,58,FY19
Google,CPC,UG,Mar-19,52,FY19
Google,Organic,OL,Aug-18,1,FY19
Google,Organic,TR,Nov-18,1,FY19
Google,Organic,TR,Mar-19,2,FY19
Google,Organic,UG,Nov-18,1,FY19
Google,Organic,UG,Dec-18,1,FY19
Google,Organic,UG,Jan-19,1,FY19
Google,Organic,UG,Mar-19,2,FY19
Instagram,IGStories,UG,Sep-18,1,FY19
Instagram,IGStories,UG,Oct-18,1,FY19
Instagram,IGStories,UG,Jan-19,1,FY19
Instagram,PageLink,GR,Sep-18,1,FY19
Instagram,PageLink,UG,Oct-18,1,FY19
Instagram,PageLink,UG,Jan-19,1,FY19
LinkedIn,InMail,DC,Sep-18,1,FY19
LinkedIn,InMail,DC,Oct-18,2,FY19
LinkedIn,InMail,DC,Nov-18,1,FY19
LinkedIn,InMail,DC,Jan-19,2,FY19
LinkedIn,InMail,DC,Feb-19,3,FY19
LinkedIn,InMail,DC,Mar-19,2,FY19
LinkedIn,InMail,GR,Oct-18,1,FY19
LinkedIn,InMail,GR,Nov-18,1,FY19
LinkedIn,InMail,GR,Feb-19,2,FY19
LinkedIn,PageLink,DC,Aug-18,1,FY19
LinkedIn,SponsoredPost,DC,Aug-18,1,FY19
LinkedIn,SponsoredPost,UG,Aug-18,1,FY19
Pinterest,TrafficPin,DC,Oct-18,1,FY19
Pinterest,TrafficPin,DC,Nov-18,1,FY19
Pinterest,TrafficPin,DC,Jan-19,2,FY19
Pinterest,TrafficPin,UG,Oct-18,1,FY19
Pinterest,TrafficPin,UG,Nov-18,1,FY19
Pinterest,TrafficPin,UG,Dec-18,2,FY19
Pinterest,TrafficPin,UG,Jan-19,2,FY19
PPH,Display,TR,Jan-19,1,FY19
Snapchat,TopSnap,UG,Sep-18,1,FY19
Snapchat,TopSnap,UG,Oct-18,5,FY19
Spotify,Programmatic,GR,Sep-18,1,FY19
Spotify,Programmatic,OL,Sep-18,1,FY19
Spotify,Programmatic,UG,Sep-18,1,FY19
Other Referral,Other Referral,TR,Jan-19,1,FY19
Other Referral,Other Referral,UG,Nov-18,2,FY19
Other Referral,Other Referral,UG,Dec-18,1,FY19
Other Referral,Other Referral,UG,Feb-19,2,FY19
Other Referral,Other Referral,UG,Mar-19,3,FY19
